NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura Amena,105,"Jaramillo P., Escipión",Creador,NA,Colombia,Ocaso,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,C. F. V.,NA,0.3,164
Lectura Amena,106,"Lozano, Alberto",Creador,NA,Colombia,Amor y gloria,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,NA,NA,3.4,164-168
Lectura Amena,107,"Gonzaga Urbina, Luis",Creador,NA,México,De profundis,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,168-169
Lectura Amena,108,"Negueri, D.",Creador,NA,NA,Para un Álbum,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,E. S. A,NA,0.5,169
Lectura Amena,109,"Montoya Pérez, Rafael",Creador,NA,Colombia,Caída,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,"Montoya, José",NA,4.3,169-173
Lectura Amena,110,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,Reliquia bio-bibliográfica de Epifanío Mejía,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.5,174
Lectura Amena,111,"Mejía, Epifanio",Creador,NA,Colombia,Alfredo,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,Teresita,NA,1,174-175
Lectura Amena,112,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,La tarde,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Poesía,NA,H. A. Z.,NA,0.7,175-176
Lectura Amena,113,Anónimo,Creador,NA,NA,De todo,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,176-177
Lectura Amena,114,Anónimo,Creador,NA,NA,NA,9,1 de febrero de 1905,1905-02-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.7,177
Lectura Amena,115,"Montoya, Antonio José",Creador,NA,Colombia,El parnaso de la montaña (De El Gran Montañes.),10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,4.5,178-183
Lectura Amena,116,"Valencia, Guillermo",Creador,NA,Colombia,Las dos cabezas,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,"Gutierrez, Eduardo S",NA,2.5,183-185
Lectura Amena,117,"Vargas Vila, José María",Creador,J.M. Vargas Vila,Colombia,Inexorable dilema,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,5,186-190
Lectura Amena,118,"Nervo, Amado",Creador,NA,México,Increpación,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,191
Lectura Amena,119,"Dicenta, Joaquín",Creador,NA,España,Bonafoux (Nota bohemia),10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2.3,192-194
Lectura Amena,120,"León Gómez, Adolfo",Creador,Adolfo León Gómez,Colombia,Los abyectos,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,194
Lectura Amena,121,"Cano, Luis",Director,NA,Colombia,Anarquía póstuma,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,194
Lectura Amena,122,"Cano, Antonio José",Creador,NA,Colombia,Tentación,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,195
Lectura Amena,123,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,Poema en prosa,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,"Carrasquilla, Tomás",NA,0.5,195
Lectura Amena,124,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,En la selva intacta,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,"Duque, Mercedes",NA,1.5,196-197
Lectura Amena,125,"Tejada Córdoba, Benjamín",Creador,B. Tejada Córdoba,Colombia,Memento,10,15 de febrero de 1905,1905-02-15,No,NA,Español,NA,Poesía,NA,Isabel,NA,0.5,197
